pipeline,steps,CER,WER,Runtime,CompositeScore,Pareto
pipe_9,grayscale → otsu_threshold → morphology,0.24205997453409944,0.5379500256275142,0.7903628904711116,0.36145128400241516,True
pipe_7,grayscale → contrast → otsu_threshold,0.23825922076044836,0.5404228580318773,0.8078809563409198,0.36204456342387936,True
pipe_0,grayscale → denoise_bilateral → contrast,0.23139320583377443,0.4997282915845529,0.9727097478779879,0.36288606518005184,True
pipe_19,grayscale → contrast → otsu_threshold → morphology,0.23825922076044836,0.5404228580318773,0.8887289769270204,0.3701293654824894,False
pipe_12,grayscale → denoise_bilateral → adaptive_threshold → morphology,0.24697247004355563,0.5590381243007778,0.8269468423995104,0.3738923565519622,False
pipe_1,grayscale → denoise_bilateral → adaptive_threshold,0.24697247004355563,0.5590381243007778,0.8898717134513638,0.38018484365714755,False
pipe_11,grayscale → denoise_bilateral → contrast → otsu_threshold,0.2835536622643394,0.6145232698871128,0.8276750049130484,0.4089013125896084,False
pipe_21,grayscale → denoise_bilateral → contrast → otsu_threshold → morphology,0.2835536622643394,0.6145232698871128,0.8623304773460735,0.4123668598329109,False
pipe_2,grayscale → denoise_bilateral → otsu_threshold,0.29940926763216014,0.6169858776313623,0.7904434346339919,0.41384474056888787,False
pipe_13,grayscale → denoise_bilateral → otsu_threshold → morphology,0.29940926763216014,0.6169858776313623,0.8179204223508184,0.41659243934057055,False
pipe_3,grayscale → denoise_nlm → contrast,0.2012592654001739,0.4558449750295065,2.0824591239744965,0.4373831252089389,True
pipe_8,grayscale → adaptive_threshold → morphology,0.2992689713519247,0.6760350954183632,0.9041501798413016,0.44286003228560145,False
pipe_10,grayscale → denoise_bilateral → contrast → adaptive_threshold,0.2989203563525518,0.6818011853250702,0.8943867094137452,0.44343920471517145,False
pipe_20,grayscale → denoise_bilateral → contrast → adaptive_threshold → morphology,0.2989203563525518,0.6818011853250702,0.9032202322374691,0.44432255699754386,False
pipe_15,grayscale → denoise_nlm → contrast → otsu_threshold,0.21950841033685986,0.5033268385243643,2.0187347531318665,0.4607522567257392,True
pipe_23,grayscale → denoise_nlm → contrast → otsu_threshold → morphology,0.21950841033685986,0.5033268385243643,2.034720563075759,0.4607522567257392,False
pipe_5,grayscale → denoise_nlm → otsu_threshold,0.23887992551542941,0.5313233823129316,1.907187283039093,0.46955570575550354,False
pipe_4,grayscale → denoise_nlm → adaptive_threshold,0.23122102403530365,0.5371118797918292,1.9655609747225589,0.47330017342745645,True
pipe_16,grayscale → denoise_nlm → adaptive_threshold → morphology,0.23122102403530365,0.5371118797918292,2.1225500354035334,0.4767440759552006,False
pipe_17,grayscale → denoise_nlm → otsu_threshold → morphology,0.23887992551542941,0.5313233823129316,2.026094968684695,0.4788369774515942,False
pipe_14,grayscale → denoise_nlm → contrast → adaptive_threshold,0.26712199186706714,0.6130065239376076,1.972701755436984,0.5147331286585143,False
pipe_22,grayscale → denoise_nlm → contrast → adaptive_threshold → morphology,0.26712199186706714,0.6130065239376076,2.001114325428551,0.5174629531148158,False
pipe_18,grayscale → contrast → adaptive_threshold → morphology,0.6502881387997865,1.2984023254945962,1.2221606306054376,0.836880830108816,False
pipe_6,grayscale → contrast → adaptive_threshold,0.6502881387997865,1.2984023254945962,1.2225954160094261,0.8369243086492149,False
